"Pdf Customiser by Fooman","Fooman Pdf Düzenleyici"
"in milimeters","milimetre olarak"
"Display Row Subtotal Including Tax","Satır ve Ara Toplamları Vergi Dahil Göster"
"is only effective if Tax > Orders, Invoices, Creditmemos Display Settings > Prices is set to not display taxes","Sadece Vergi > Sipariş, Fatura, Alacak Kaydı, Ayarlar > Fiyatlar Vergi hariç olarak ayarlandıysa çalışır"
"Grand Total is tax inclusive","Genel Toplam Vergi Dahil"
"Display only one Grand Total","Sadece Genel Toplamı Göster"
"Display detailed Tax Summary","Detaylı KDV Özeti Göster"
"Columns","Kolonlar"
"Columns Advanced","Gelişmiş Kolonlar"
"Display Background only on first page","Arka planı sadece ilk sayfada göster"
"Display Page Number","Sayfa Numarası Göster"
"Custom Column","Özel Kolon"
"Custom Column Attribute","Özel Kolon Özellikleri"
"Base Amount","Matrah"
"Select up to 5 attributes.","5 özelliğe kadar seçin"
"Position","Pozisyon"
"Pos","Poz"
"right","Sağ"
"left","Sol"
"Display Pdf in New Window","Pdf'i yeni pencerede göster"
"Weight Unit","Ağırlık Birimi"
"Barcode Type","Barkod Tipi"
"Pdf Totals Sort Order","Pdf Toplamları Sıralaması"
"Upload Custom Font","Özel Font Yükle"
"Don't Use","Kullanma"
"Custom Label Left - Shipping Address","Özel Sol Etiket - Teslimat Adresi"
"Custom Label Right - Shipping Address","Özel Sağ Etiket - Teslimat Adresi"
"Custom Label Left - Billing Address","Özel Sol Etiket - Ödeme Adresi"
"Custom Label Right - Billing Address","Özel Sağ Etiket - Ödeme Adresi"
"Display Salesrule instead of Coupon Code","Kupon kodu yerine satış kuralı göster"
"Combines Gift Wrapping for Orders, Items and Printed Cards","Combines Gift Wrapping for Orders, Items and Printed Cards"
"Sort by Column","Kolona Göre Sırala"
"Use Alternative Layout","Alternatif Arayüz Kullan"
"Please make sure the barcode type is appropriate for the content or the pdf generation might fail (Default: CODE 39 EXTENDED + CHECKSUM).","Lütfen barkod tipinin oluşturduğunuz pdf ve içeriğe uygun olduğundan emin olun pdf oluşturması çalışmayabilir (Varsayılan: CODE 39 EXTENDED + CHECKSUM)."
"Double - Shipping and Store Addresses","Çift - Teslimat ve Mağaza Adresleri"
"Double - Shipping with Store Addresses and Image","Çift - Mağaza adresleri ve resimlerle beraber teslimat"
"Display Order Barcode","Sipariş Barkodunu Göster"
"Qty Detailed","Adet Detayı"
"Page Orientation","Sayfa Oryantasyonu"
"Portrait","Portre"
"Landscape","Manzara"
"Display Tracking Number as Barcode","Display Tracking Number as Barcode"
"Display Document Barcode","Display Document Barcode"
